Lipid,Isometry,SMILES,Target
A17C5B4,C+T,CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN + CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCCCN(C)CCCN,0.849308129
A17C5B5,,CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN,1.536841815
A17C4B5,,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN,-0.681273244
A17C4B4,C+T,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN + CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCCCN(C)CCCN,0.841559656
A17C1B5,,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN,0.425953486
A17C1B4,C+T,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN + CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCCCN(C)CCCN,0.437615466
A17C2B5,,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN,0.905212523
A17C2B4,C+T,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN + CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCCCN(C)CCCN,1.321505693
A17C3B4,C+T,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN + CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCCCN(C)CCCN,0.21552369
A17C3B5,,CCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCCCN(C)CCCN,1.616591146
A18C5B5,,CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC,1.671171348
A18C5B4,C+T,CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC + CCCCCCCC\C=C/CCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCC1CCCN1CC,1.805194465
A18C4B5,,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC,1.337707443
A18C4B4,C+T,CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC + CCCCCCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCC1CCCN1CC,1.55733393
A18C1B4,C+T,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC + CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C/CCCCCCC)NCC1CCCN1CC,0.595517308
A18C1B5,,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)\C=C\CCCCCCC)NCC1CCCN1CC,0.70745091
